,Population2011Census,Wardcode,Ward name,Districtcode,District,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,LifeExpectancy,Children,Adult,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
25,14136,00BEGN,Newington,00BE,Southwark,97.6,3.8,54.2,7.8,19.4,0.4,48.1,77.5,83.2,80.35,17.282116581777,74.217883418223,8.5,48.2,42.5,13.6
26,10300,00BKGB,Bayswater,00BK,Westminster,118.2,3.8,20.4,4.4,7.5,0.4,43.2,91.6,85.1,88.35,11.747572815534,78.552427184466,9.7,31.1,56.1,23.9
27,10575,00BKGW,West End,00BK,Westminster,2100.2,3.9,23.5,3.4,9.6,0.4,38.1,93.2,99.6,96.4,7.91489361702128,81.18510638297872,10.9,32.4,56.8,24.2
28,9369,00BKGT,Warwick,00BK,Westminster,162.0,4.0,28.2,4.0,9.4,0.5,40.7,80.7,95.1,87.9,10.7161916960188,77.9838083039812,11.3,24.0,43.9,15.9
29,13389,00ANGR,Wormholt and White City,00AN,Hammersmith and Fulham,79.2,4.2,52.3,10.5,21.5,0.5,70.6,78.1,85.9,82.0,22.6603928598103,68.3396071401897,9.0,50.6,45.0,14.3
30,14604,00BHGD,Grove Green,00BH,Waltham Forest,69.1,4.3,9.1,7.1,15.7,0.6,80.5,74.4,80.8,77.6,19.0427280197206,73.8572719802794,7.1,53.2,53.0,21.2
31,12563,00BKGN,Queen's Park,00BK,Westminster,98.3,4.4,55.4,13.7,22.6,0.4,83.3,76.8,83.8,80.3,21.7702777998886,68.7297222001114,9.5,52.6,43.3,15.2
32,14129,00BEGM,Livesey,00BE,Southwark,126.4,4.5,66.9,13.1,23.8,0.4,80.0,77.0,81.5,79.25,23.5685469601529,67.3314530398471,9.1,62.2,44.3,11.9
33,15362,00BEGL,Grange,00BE,Southwark,140.5,4.5,45.0,7.6,15.7,0.4,59.7,77.9,81.1,79.5,14.1062361671657,79.3937638328343,6.5,39.1,38.3,10.8
34,18652,00AHGH,Broad Green,00AH,Croydon,219.7,4.5,27.5,8.3,20.2,0.7,83.8,75.3,83.8,79.55,25.7613124597898,67.13868754021021,7.1,68.6,46.2,16.9
35,14257,00BCGB,Chadwell,00BC,Redbridge,67.1,4.8,10.0,6.5,18.5,1.0,90.5,77.9,81.8,79.85,24.6685838535456,65.0314161464544,10.3,56.9,31.6,9.9
36,14483,00APGC,Bruce Grove,00AP,Haringey,111.6,4.9,28.2,15.3,22.5,0.5,83.9,75.2,83.0,79.1,22.460816129255,69.139183870745,8.4,55.9,55.5,23.5
37,13799,00BHFX,Cann Hall,00BH,Waltham Forest,84.6,5.0,28.3,10.5,19.2,0.6,106.8,77.0,81.3,79.15,21.689977534604,71.21002246539601,7.1,57.0,48.8,18.2
38,13269,00BHGR,William Morris,00BH,Waltham Forest,81.0,5.3,21.4,9.0,20.4,0.6,102.7,77.5,80.7,79.1,22.413143416987,69.586856583013,8.0,51.8,43.6,16.9
39,13417,00AGGQ,Kentish Town,00AG,Camden,126.3,5.3,33.3,5.6,13.6,0.4,55.2,73.5,78.4,75.95,15.8008496683312,74.59915033166881,9.6,28.4,34.2,10.4
40,14862,00BGGN,Whitechapel,00BG,Tower Hamlets,146.5,5.4,32.9,9.3,17.1,0.3,66.9,73.6,83.2,78.4,16.3706096083973,78.0293903916027,5.6,60.2,48.8,24.8
41,15178,00BEGF,Chaucer,00BE,Southwark,122.6,5.6,43.3,6.4,11.3,0.4,36.3,88.5,97.5,93.0,14.8240874950586,79.97591250494139,5.2,49.9,45.2,13.3
42,8977,00BAGE,Hillside,00BA,Merton,52.0,5.7,9.9,1.2,6.4,0.8,60.0,81.0,91.7,86.35,13.8242174445806,72.4757825554194,13.7,21.7,41.6,11.3
43,11986,00AGGJ,Frognal and Fitzjohns,00AG,Camden,65.2,5.7,7.1,1.9,6.1,0.8,55.6,80.0,85.6,82.8,17.9125646587686,68.0874353412314,14.0,25.8,48.5,14.6
44,10459,00AXGL,Surbiton Hill,00AX,Kingston upon Thames,30.3,5.8,7.5,1.7,10.7,1.0,54.2,79.1,81.9,80.5,16.7033177167989,69.79668228320111,13.5,19.0,25.0,7.0
