,Population2011Census,Wardcode,Ward name,Districtcode,District,Crimerate,Openspace,hhSocialRented,JobSeekers,Noqual,Carsperhousehold,GeneralFertilityRate,Malelifeexpectancy,Femalelifeexpectancy,LifeExpectancy,Children,Adult,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
104,11865,00BCGS,Snaresbrook,00BC,Redbridge,67.8,10.6,11.8,2.8,14.9,1.0,68.8,77.9,84.8,81.35,15.4150863885377,66.9849136114623,17.6,30.2,27.2,6.5
105,11589,00ANGJ,North End,00AN,Hammersmith and Fulham,97.7,10.6,28.6,4.7,11.2,0.4,42.3,79.1,89.8,84.44999999999999,12.5722668047286,80.8277331952714,6.6,34.2,47.9,19.4
106,13912,00BHGJ,Hoe Sainteet,00BH,Waltham Forest,110.2,10.6,27.0,11.5,19.0,0.6,79.1,75.9,81.7,78.80000000000001,21.0753306497987,70.1246693502013,8.8,49.9,42.8,17.2
107,11124,00AQGP,Rayners Lane,00AQ,Harrow,44.4,10.7,2.2,3.2,13.7,1.3,64.9,82.1,85.0,83.55,20.631067961165,65.46893203883499,13.9,65.5,48.0,17.6
108,9437,00AXFY,Berrylands,00AX,Kingston upon Thames,34.1,10.8,17.4,2.4,11.9,1.0,60.4,78.4,83.9,81.15,16.9227508742185,68.17724912578149,14.9,18.1,24.1,6.9
109,8839,00AWFZ,Brompton,00AW,Kensington and Chelsea,291.9,10.8,12.3,1.4,6.6,0.6,47.3,84.8,90.5,87.65,14.0513632763887,72.9486367236113,13.0,24.4,61.7,26.8
110,15917,00BBGG,East Ham Central,00BB,Newham,174.4,10.9,15.7,8.4,19.3,0.6,104.2,75.1,81.7,78.4,22.4539800213608,70.44601997863921,7.1,81.9,61.4,29.1
111,9750,00AXGE,Coombe Vale,00AX,Kingston upon Thames,36.4,11.0,6.9,1.8,11.7,1.2,51.4,80.2,85.3,82.75,21.2410256410256,65.4589743589744,13.3,33.4,33.5,11.1
112,15022,00BJGC,East Putney,00BJ,Wandsworth,49.0,11.0,11.3,2.2,7.9,0.7,45.7,80.7,85.1,82.9,13.2738649980029,75.72613500199711,11.0,20.6,39.4,9.3
113,11343,00AQFY,Belmont,00AQ,Harrow,56.1,11.0,3.7,2.8,15.1,1.5,81.1,82.1,85.5,83.8,21.2465837961739,65.7534162038261,13.0,58.7,41.6,13.2
114,12201,00AUFX,Barnsbury,00AU,Islington,150.3,11.0,38.5,5.0,16.3,0.5,45.1,75.0,79.5,77.25,14.8840258995164,75.71597410048359,9.4,28.9,35.5,10.9
115,15169,00ATGL,Hounslow Central,00AT,Hounslow,213.4,11.1,16.9,3.9,12.8,0.7,81.6,78.5,87.0,82.75,18.5312149779155,71.9687850220845,9.5,70.7,64.5,29.5
116,14613,00BJGD,Fairfield,00BJ,Wandsworth,83.7,11.2,15.2,2.4,8.5,0.7,46.2,77.2,80.3,78.75,12.6736467528913,80.6263532471087,6.7,22.1,32.5,7.1
117,16539,00AHHA,Thornton Heath,00AH,Croydon,95.9,11.2,19.7,11.3,18.7,0.7,87.1,75.6,82.8,79.19999999999999,25.0256968377774,65.8743031622226,9.1,67.1,37.6,9.4
118,16989,00AEGT,Kilburn,00AE,Brent,123.3,11.2,45.0,13.3,17.1,0.4,81.4,76.2,84.2,80.2,18.6002707634352,72.7997292365648,8.6,50.0,48.1,18.4
119,17768,00BBGU,Saintatford and New Town,00BB,Newham,185.7,11.2,31.8,7.0,13.9,0.4,49.1,78.5,79.7,79.1,15.4547501125619,78.94524988743811,5.6,59.2,54.9,23.5
120,15059,00AEGN,Dudden Hill,00AE,Brent,112.1,11.5,19.9,9.1,19.8,0.8,76.0,85.3,88.1,86.69999999999999,20.3997609403015,69.90023905969849,9.7,55.9,56.2,23.8
121,13939,00APGK,Noel Park,00AP,Haringey,247.3,11.5,38.2,12.1,20.8,0.5,53.0,74.8,84.7,79.75,19.0974962335892,72.4025037664108,8.5,45.2,51.7,25.4
122,14480,00BGGB,Bromley-by-Bow,00BG,Tower Hamlets,78.0,11.7,,,,,80.8,76.3,83.0,79.65,26.7334254143646,67.4665745856354,5.8,70.4,43.5,22.0
123,14751,00BJFZ,Balham,00BJ,Wandsworth,90.3,11.7,10.9,2.4,7.1,0.7,59.5,79.3,84.4,81.85,15.687072062911,76.512927937089,7.8,19.4,28.5,6.5
124,14573,00AZGP,Lee Green,00AZ,Lewisham,84.4,11.9,21.2,6.3,14.6,0.7,78.0,77.1,81.2,79.15,19.3096822891649,69.7903177108351,10.9,33.7,28.9,8.1
125,7659,00AWGL,Pembridge,00AW,Kensington and Chelsea,163.4,11.9,12.7,2.7,6.2,0.5,40.4,82.1,85.7,83.9,13.3176654915785,74.88233450842151,11.8,22.1,51.2,20.2
126,9816,00BAGD,Graveney,00BA,Merton,61.0,12.3,3.9,6.0,15.8,0.9,91.8,82.9,85.6,84.25,18.2457212713936,70.8542787286064,10.9,57.5,54.1,23.1
127,13866,00BBGH,East Ham North,00BB,Newham,79.7,12.3,17.6,8.9,19.9,0.7,92.8,71.3,76.9,74.1,21.8736477715275,70.22635222847249,7.9,90.8,60.2,31.5
128,12212,00AMGD,Clissold,00AM,Hackney,82.5,12.3,34.0,5.6,14.3,0.5,60.9,77.1,83.5,80.3,18.7111038322961,74.6888961677039,6.6,34.7,32.0,10.6
