Id,Population_2011_Census,Ward_Code,Ward_Name,District_Code,District,Crime_Rate,Open_Space,hh_Social_Rented,Job_Seekers,No_Qual,Cars_Per_Household,General_Fertility_Rate,Male_Life_Expectancy,Female_Life_Expectancy,Life_Expectancy,Children,Adult,Greater_Than_65,Non_White,Not_Born_In_UK,Not_English_Speaking
84,11923,00ANGG,Hammersmith Broadway,00AN,Hammersmith and Fulham,230.4,9.4,39.9,5.5,15,0.5,43.4,74,81.9,78,16,73.9,10.1,33.9,40.5,13.4
85,10616,00ADGC,Blackfen and Lamorbey,00AD,Bexley,25.8,9.5,3.8,2.1,22.4,1.3,53.3,84.2,84.6,84.4,19.7,62.8,17.5,7.3,7.1,1.2
86,14679,00BJGH,Nightingale,00BJ,Wandsworth,63.7,9.5,13.1,2.7,8.9,0.7,63.3,75.3,79.2,77.2,16.2,74.3,9.5,21.4,27.7,6.7
87,10200,00BFGT,Wallington South,00BF,Sutton,72,9.5,16.4,4.2,18.7,1.1,53,178,81.7,129.8,18.2,64.5,17.3,21.3,18.5,4.3
88,13023,00AEGL,Brondesbury Park,00AE,Brent,91.6,9.6,21.5,5.3,15.9,0.7,67.2,80.3,84.7,82.5,16.8,71.1,12.1,43.8,47.2,16.2
89,11553,00AUGL,Saint Mary's,00AU,Islington,253.8,9.6,41.5,5.1,15.5,0.4,47,73.6,82.4,78,13.7,76.7,9.6,25.3,33.1,10
90,15618,00AZGS,Perry Vale,00AZ,Lewisham,74.7,9.7,26.5,7.1,16.2,0.7,73.5,76.2,80.8,78.5,20.7,69.7,9.6,42.5,30.5,7.2
91,15529,00AEGU,Mapesbury,00AE,Brent,97.9,9.7,19.2,7.3,14.5,0.6,72.6,78.6,86,82.3,16.1,75.6,8.3,43.4,52.3,21.3
92,12175,00ANGP,Shepherd's Bush Green,00AN,Hammersmith and Fulham,349.3,9.7,37.9,8.2,13.9,0.4,52.6,72.7,85.4,79,14.8,77.6,7.6,40.1,47.2,16.4
93,10813,00ANGL,Parsons Green and Walham,00AN,Hammersmith and Fulham,124,9.8,20.6,3,9.5,0.8,61.6,80.3,84.6,82.4,18,71.8,10.2,17.8,38.2,10.8
94,9104,00AWGE,Earl's Court,00AW,Kensington and Chelsea,105.6,10,22.7,5.1,8.4,0.4,44.9,82.2,92.6,87.4,11.5,79.7,8.8,35.4,61,29.6
